country,trackID,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Austrialia,34,I Adore You (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,232413,16,0.482,0.652,0.482,0.333,0.893,0.0702,-10.816,0.0283,76.01,4
Austrialia,35,Love and Other Bruises (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,264386,13,0.225,0.0131,0.225,0.501,0.773,0.0816,-7.193,0.0316,106.804,3
Austrialia,36,Free to Love (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,303973,15,0.528,0.685,0.528,0.309,0.791,0.185,-9.854,0.031,108.025,3
Austrialia,37,The One That You Love (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,355986,14,0.177,0.0205,0.177,0.318,0.75,0.106,-10.343,0.0319,81.585,4
Austrialia,38,Lost in Love (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,265266,16,0.346,0.793,0.346,0.321,0.431,0.115,-10.568,0.0305,106.938,4
Austrialia,39,All out of Love (Instrumental),The Lost in Love Experience,Air Supply,2/14/2019,299360,18,0.535,0.203,0.535,0.378,0.46,0.131,-8.083,0.0259,99.969,4
Austrialia,40,Lost In Love,All Out Of Love,Air Supply,2/2/2018,232453,55,0.563,0.588,0.563,0.532,0.0131,0.186,-11.295,0.0291,114.491,4
Austrialia,41,All Out of Love,All Out Of Love,Air Supply,2/2/2018,241373,66,0.502,0.077,0.502,0.513,0,0.494,-6.473,0.0251,108.371,4
Austrialia,42,Every Woman in the World,All Out Of Love,Air Supply,2/2/2018,204866,39,0.484,0.0437,0.484,0.619,0,0.102,-7.03,0.0252,77.517,4
Austrialia,43,The One That You Love,All Out Of Love,Air Supply,2/2/2018,256493,38,0.425,0.268,0.425,0.458,0,0.107,-7.031,0.0258,109.048,4
Austrialia,44,Sweet Dreams,All Out Of Love,Air Supply,2/2/2018,236786,44,0.379,0.392,0.379,0.466,1.52E-06,0.241,-6.856,0.0308,126.223,4
Austrialia,45,I Want to Give It All,All Out Of Love,Air Supply,2/2/2018,217560,45,0.42,0.898,0.42,0.229,7.30E-05,0.107,-12.865,0.0326,117.761,4
Austrialia,46,Even the Nights Are Better,All Out Of Love,Air Supply,2/2/2018,236013,39,0.433,0.535,0.433,0.518,0,0.176,-10.416,0.0369,115.377,4
Austrialia,47,Two Less Lonely People In the World,All Out Of Love,Air Supply,2/2/2018,241280,37,0.417,0.596,0.417,0.477,0,0.26,-8.359,0.0361,148.255,4
Austrialia,48,Now and Forever,All Out Of Love,Air Supply,2/2/2018,229400,42,0.53,0.879,0.53,0.258,0,0.0556,-11.045,0.026,102.023,3
Austrialia,49,Making Love Out of Nothing at All,All Out Of Love,Air Supply,2/2/2018,341746,71,0.388,0.202,0.388,0.72,0.000288,0.283,-5.541,0.033,141.283,4
Austrialia,50,Just As I Am - Remastered,All Out Of Love,Air Supply,2/2/2018,283040,37,0.392,0.0763,0.392,0.608,0,0.147,-4.716,0.0252,75.174,4
Austrialia,51,The Power of Love (You Are My Lady),All Out Of Love,Air Supply,2/2/2018,248213,35,0.486,0.459,0.486,0.479,0.000105,0.122,-9.255,0.0304,144.102,4
Austrialia,52,One More Chance,All Out Of Love,Air Supply,2/2/2018,232240,44,0.568,0.157,0.568,0.563,2.72E-06,0.0609,-8.731,0.0251,131.347,4
Austrialia,53,Lonely Is the Night,All Out Of Love,Air Supply,2/2/2018,248306,36,0.557,0.181,0.557,0.621,2.79E-06,0.299,-6.689,0.0232,83.194,4
Austrialia,54,Love Is All,All Out Of Love,Air Supply,2/2/2018,272173,30,0.375,0.389,0.375,0.527,0,0.0861,-7.342,0.0275,142.231,4
Austrialia,55,Even the Nights are Better - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,280786,34,0.55,0.00852,0.55,0.762,1.44E-05,0.62,-9.787,0.0408,115.815,4
Austrialia,56,Just As I Am - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,270706,33,0.435,0.043,0.435,0.694,9.88E-06,0.501,-10.149,0.0462,163.969,4
Austrialia,57,Every Woman In the World - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,228613,24,0.462,0.105,0.462,0.616,2.63E-06,0.782,-9.641,0.0323,75.511,4
Austrialia,58,Here I Am - Live,Air Supply Live In Hong Kong,Air Supply,8/5/2014,323680,24,0.32,0.319,0.32,0.462,5.80E-06,0.963,-12.188,0.0404,132.103,4
